facility,"vendor_category","vendor_reference_location"
AAA,"Authentication, authorization, and accounting","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
AAA_CACHE,"Authentication, authorization, and accounting cache","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
AAAA,"TACACS+ authentication, authorization, and accounting security","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
AAL5,"ATM Adaptation Layer 5","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
AC,"Attachment circuit","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
ACCESS_IE,"Access information element","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
ACE,"Access control encryption","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
ACL,"Access control list","http://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst4500/15-1/XE_340SG/system/messages/sem_15_1_2/edesc.html"
ACL_ASIC,"Access control list ASIC","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
ACLMERGE,"Access control list merge","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
ACLMGR,"Access control list manager","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
ACLSNOOPMAN,"ACL Snooping","http://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst4500/15-1/XE_340SG/system/messages/sem_15_1_2/edesc.html"
ADAPTER,"CMCC adapter task","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
ADJ,"Adjacency subsystem","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
AESOP_AIM,"Service engine advanced interface module","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
AFLSEC,"Accelerated Flow Logging Security","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
AHDLC_TRINIAN,"PPP in HDLC-like framing device driver","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
AICMGMT,"Alarm interface controller management","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
AIM,"Advanced Interface Module (AIM)","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
AIP,"ATM Interface Processor","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
ALARM,"Telco chassis alarm related","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
ALC,"ATM line card (ALC)","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
ALIGN,"Memory optimization in Reduced Instruction Set Computer (RISC) processor","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
ALPS,"Airline Protocol Support","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
AMD79C971_FE,"Am79C971 Fast Ethernet device driver","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
AMDP2_FE,"AMDP2 Ethernet and Fast Ethernet","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
AP,"Authentication Proxy (AP)","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
APPFW,"APPFW for HTTP subsystem","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
APS,"Automatic Protection Switching","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
ARAP,"Apple Remote Access Protocol (ARAP)","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
ARCHIVE_CONFIG,"Archive configuration-related","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
